question,answer,note
AVRマイコンで採用されている、命令セットアーキテクチャの分類は何ですか？,RISC（Reduced Instruction Set Computer）,命令を単純化・固定長にし、パイプライン処理により1クロックでの実行を基本とする設計思想。
複雑で多機能な命令を持ち、1命令の長さが可変であるCPU設計を何と呼びますか？,CISC（Complex Instruction Set Computer）,1命令で高度な処理が可能でプログラム長を短縮できるが、デコード回路が複雑化する。
ATmega48のプログラム領域（フラッシュROM）の容量はいくらですか？,$4\text{ KiB}$,"$1$ ワード $=2$ バイトの命令を $2,048$ 個分格納可能な容量を持つ。"
ATmega48のデータ領域のうち、SRAMの容量はいくらですか？,$512\text{ B}$,実行時の変数保存やスタック領域として利用される揮発性メモリ。
ATmega48のEEPROMの容量はいくらですか？,$256\text{ B}$,設定値などの保持に適した不揮発性メモリ。バイト単位での書き換えが可能。
AVRマイコンに搭載されている、演算やI/O保持に使用される8ビット汎用レジスタの数はいくつですか？,32個,R0からR31まで存在。すべてのレジスタがALU（演算装置）に直結している。
次に実行する命令のアドレスを保持するレジスタを何と呼びますか？,プログラムカウンタ（PC）,命令を実行するたびに次のアドレスを指すよう更新される。分岐命令で値が書き換わる。
電源を切っても内容が保持され、プログラムを格納するために使用されるメモリは何ですか？,フラッシュROM,"不揮発性メモリの一種。ATmega48では約10,000回の書き換えが可能。"
命令実行結果のフラグ（正負、ゼロ、キャリーなど）を保持するレジスタを何と呼びますか？,ステータスレジスタ（SREG）,直前の演算結果の状態を反映し、条件分岐命令の判断基準として用いられる。
ATmega48において、汎用レジスタR0のアドレスは16進数でいくつですか？,$0\text{x}0000$,データメモリ空間の先頭（ $0$ 番地）から $32$ 個が汎用レジスタに割り当てられている。
ATmega48において、I/Oレジスタ（標準I/O）が割り当てられているデータ領域のアドレス範囲は？,$0\text{x}0020$  〜  $0\text{x}005\text{F}$,IN/OUT命令で直接アクセス可能な $64$ 個のレジスタ領域。
データの「一時保存」や「サブルーチン呼び出し」に使用される後入れ先出しの仕組みを何と呼びますか？,スタック,LIFO（Last In First Out）構造。関数の戻り先アドレスやレジスタの退避に使用。
スタックにおいて、値を格納する操作を何と呼びますか？,プッシュ（PUSH）,スタックポインタが指す位置にデータを書き込み、ポインタの値を更新する。
スタックの現在位置を示すレジスタを何と呼びますか？,スタックポインタ（SP）,SRAM内のスタックの最上位アドレスを保持する特別なレジスタ。
ATmega48のスタックポインタ（SP）の初期値は通常どこに設定しますか？,SRAMの最終番地（ $0\text{x}02\text{FF}$ ）,スタックは高位から低位アドレスへ向かって伸びるため、メモリ末尾を初期値とする。
EEPROMは書き換え回数に寿命がありますが、概ね何回程度ですか？,10万回程度,フラッシュROM（約1万回）よりも耐久性が高く、頻繁な設定変更に適している。
SREGのビット0に位置する、演算の結果「繰り上がり」や「繰り下がり」が発生したことを示すフラグは？,Cフラグ（Carry）,符号なし演算の桁あふれや、シフト命令の溢れたビットの保持に使用。
SREGのビット1に位置する、演算結果が0になったことを示すフラグは？,Zフラグ（Zero）,演算結果が $0$ の時や、比較命令で二つの値が等しい時にセットされる。
